Plant_Name,State,County,PlantCapac,PlantFlow,BTU_Conten,DryGasStor,NG_LiquidS,City,ZipCode,OwnerCompa,OperatorCo,Source,x,y
Robin Hill Plant,PA,Washington,18,5.00000000000,1328,0,1215,Bulger,15019,"Laurel Mountain Midstream, LLC","Laurel Mountain Midstream, LLC","EIA-757, Natural Gas Processing Plant Survey",-8941778,4924204
Keystone Plant,PA,Butler,210,118.00000000000,1221,0,0,Evans City,16033,MarkWest Liberty Midstream & Resources,MarkWest Liberty Midstream & Resources,"EIA-757, Natural Gas Processing Plant Survey",-8910599,4981593
Houston Plant,PA,Washington,355,279.60000000000,1276,0,0,Washington,15301,MarkWest Liberty Midstream & Resources,MarkWest Liberty Midstream & Resources,"EIA-757, Natural Gas Processing Plant Survey",-8933702,4889519
Penn Cryo Gas Plant,PA,Butler,125,101.76000000000,1180,0,5733,Renfrew,16053,"Mountain Gathering, LLC","Mountain Gathering, LLC","EIA-757, Natural Gas Processing Plant Survey",-8903684,4984634
Keystone Plant,PA,Warren County,10,5.32000000000,1293,0,2064,Claredon,16313,"Elkhorn Holdings, LLC",Elkhorn Gas Processing LLC,"EIA-757, Natural Gas Processing Plant Survey",-8811762,5118818
Roystone Plant,PA,Warren,9,6.12000000000,1251,0,3036,Sheffield,16347,Elkhorn Holdings LLC,Elkhorn Gas Processing LLC,"EIA-757, Natural Gas Processing Plant Survey",-8797370,5112698
GRUNDER RUN PLANT,PA,WARREN,2,1.00000000000,1360,0,1428,WARREN,16365,KCS ENERGY INC.,"KCS ENERGY INC,","EIA-757, Natural Gas Processing Plant Survey",-8809582,5141249
Lewis Run Plant,PA,Bradford,5,2.53000000000,1293,0,1821,Bradford,16701,"Elkhorn Investments, LLC","Elkhorn Gas Processing, LLC","EIA-757, Natural Gas Processing Plant Survey",-8767830,5148685
Kane Plant,PA,McKean,12,7.16000000000,1293,0,3035,Kane,16735,"Kane GPP, LP",Elkhorn Gas Processing LLC,"EIA-757, Natural Gas Processing Plant Survey",-8772549,5111145
Whitetail Plant,PA,Elk,6,3.90000000000,1150,0,1214,Kane,16735,"Elkhorn Investments, LLC","Elkhorn Gas Processing, LLC","EIA-757, Natural Gas Processing Plant Survey",-8766224,5111145
Lafayette,PA,McKeen,2,1.00000000000,1360,0,700,Lewis Run,16738,MSL Oil & Gas Corp,MSL Oil & Gas Corp,"EIA-757, Natural Gas Processing Plant Survey",-8763968,5130377
Cobb,WV,Kenewha,65,35.00000000000,1240,0,0,Clendenin,25045,"Markwest Energy Appalacia, LLC","Markwest Energy Appalacia, LLC","EIA-757, Natural Gas Processing Plant Survey",-9052355,4642491
Smokehouse,WV,Logan,7,5.00000000000,1271,0,2142,Chapmanville,25508,Chesapeake Operating Inc.,Penspen (Formerly dba Greystar Corp),"EIA-757, Natural Gas Processing Plant Survey",-9130607,4574266
Hurricane Gas Processing Plant,WV,Putnam,10,4.00000000000,1250,0,2429,Hurricane,25526,"Tulsa Hurricane, LLC","Elkhorn Gas Processing, LLC","EIA-757, Natural Gas Processing Plant Survey",-9126500,4635853
Kenova,WV,Wayne,160,108.00000000000,1238,0,0,Kenova,25530,"Markwest Energy Appalacia, LLC","Markwest Energy Appalacia, LLC","EIA-757, Natural Gas Processing Plant Survey",-9190950,4629664
Holden,WV,Logan,9,4.51000000000,1264,0,2142,Holden,25625,Chesapeake Appalachia LLC,Penspen (Formerly dba Greystar Corp.),"EIA-757, Natural Gas Processing Plant Survey",-9139133,4555162
